GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flight-service,com.travel.flight,FlightServiceApplication,8,0,0,0,3,0,2,0,2,0
flight-service,com.travel.flight,FlightController,0,9,0,0,0,2,0,2,0,2
flight-service,com.travel.flight,FlightService,32,0,0,0,8,0,2,0,2,0
